"District","FIPS","Year","Variable","Measure Type","Value"
"Brooklyn School District","","2015-2016","Suspensions","Percent","6.5"
"Brooklyn School District","","2016-2017","Suspensions","Percent","5.1"
"Brooklyn School District","","2017-2018","Suspensions","Percent","5.3"
"Brooklyn School District","","2018-2019","Suspensions","Percent","2.3"
"Brooklyn School District","","2019-2020","Suspensions","Percent","2.8"
"Canaan School District","","2009-2010","Suspensions","Percent","-6666"
"Canaan School District","","2010-2011","Suspensions","Percent","-6666"
"Canaan School District","","2011-2012","Suspensions","Percent","-6666"
"Canaan School District","","2012-2013","Suspensions","Percent","-9999"
"Canaan School District","","2013-2014","Suspensions","Percent","-9999"
"Canaan School District","","2014-2015","Suspensions","Percent","-6666"
"Canaan School District","","2015-2016","Suspensions","Percent","-9999"
"Canaan School District","","2016-2017","Suspensions","Percent","-9999"
"Canaan School District","","2017-2018","Suspensions","Percent","-9999"
"Canaan School District","","2018-2019","Suspensions","Percent","-6666"
"Canaan School District","","2019-2020","Suspensions","Percent","-6666"
"Canterbury School District","","2009-2010","Suspensions","Percent","5.4"
"Canterbury School District","","2010-2011","Suspensions","Percent","4.7"
"Canterbury School District","","2011-2012","Suspensions","Percent","4.8"
"Canterbury School District","","2012-2013","Suspensions","Percent","3.8"
"Canterbury School District","","2013-2014","Suspensions","Percent","4.2"
"Canterbury School District","","2014-2015","Suspensions","Percent","2.9"
"Canterbury School District","","2015-2016","Suspensions","Percent","2.2"
"Canterbury School District","","2016-2017","Suspensions","Percent","3.6"
"Canterbury School District","","2017-2018","Suspensions","Percent","1.5"
"Canterbury School District","","2018-2019","Suspensions","Percent","-9999"
"Canterbury School District","","2019-2020","Suspensions","Percent","1.4"
"Canton School District","900312270","2009-2010","Suspensions","Percent","2.5"
"Canton School District","900312270","2010-2011","Suspensions","Percent","1.7"
"Canton School District","900312270","2011-2012","Suspensions","Percent","2.8"
"Canton School District","900312270","2012-2013","Suspensions","Percent","1.8"
"Canton School District","900312270","2013-2014","Suspensions","Percent","1.1"
"Canton School District","900312270","2014-2015","Suspensions","Percent","1.3"
"Canton School District","900312270","2015-2016","Suspensions","Percent","2.6"
"Canton School District","900312270","2016-2017","Suspensions","Percent","2.6"
"Canton School District","900312270","2017-2018","Suspensions","Percent","1.6"
"Canton School District","900312270","2018-2019","Suspensions","Percent","2.3"
"Canton School District","900312270","2019-2020","Suspensions","Percent","1.2"
"Capital Preparatory Harbor School Inc. District","","2009-2010","Suspensions","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2010-2011","Suspensions","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2011-2012","Suspensions","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2012-2013","Suspensions","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2013-2014","Suspensions","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2014-2015","Suspensions","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2015-2016","Suspensions","Percent","23.3"
"Capital Preparatory Harbor School Inc. District","","2016-2017","Suspensions","Percent","26.1"
"Capital Preparatory Harbor School Inc. District","","2017-2018","Suspensions","Percent","15.5"
"Capital Preparatory Harbor School Inc. District","","2018-2019","Suspensions","Percent","10.8"
"Capital Preparatory Harbor School Inc. District","","2019-2020","Suspensions","Percent","8.5"
"Capitol Region Education Council","","2009-2010","Suspensions","Percent","12.2"
"Capitol Region Education Council","","2010-2011","Suspensions","Percent","10.2"
"Capitol Region Education Council","","2011-2012","Suspensions","Percent","5.7"
"Capitol Region Education Council","","2012-2013","Suspensions","Percent","8.8"
"Capitol Region Education Council","","2013-2014","Suspensions","Percent","8.8"
"Capitol Region Education Council","","2014-2015","Suspensions","Percent","8.2"
"Capitol Region Education Council","","2015-2016","Suspensions","Percent","10.1"
"Capitol Region Education Council","","2016-2017","Suspensions","Percent","9.8"
"Capitol Region Education Council","","2017-2018","Suspensions","Percent","9.0"
"Capitol Region Education Council","","2018-2019","Suspensions","Percent","8.1"
"Capitol Region Education Council","","2019-2020","Suspensions","Percent","6.0"
"Chaplin School District","","2009-2010","Suspensions","Percent","-6666"
"Chaplin School District","","2010-2011","Suspensions","Percent","-9999"
"Chaplin School District","","2011-2012","Suspensions","Percent","-9999"
"Chaplin School District","","2012-2013","Suspensions","Percent","-9999"
"Chaplin School District","","2013-2014","Suspensions","Percent","-9999"
"Chaplin School District","","2014-2015","Suspensions","Percent","-6666"
"Chaplin School District","","2015-2016","Suspensions","Percent","-9999"
"Chaplin School District","","2016-2017","Suspensions","Percent","-9999"
"Chaplin School District","","2017-2018","Suspensions","Percent","-9999"
"Chaplin School District","","2018-2019","Suspensions","Percent","-6666"
"Chaplin School District","","2019-2020","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2009-2010","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2010-2011","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2011-2012","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2012-2013","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2013-2014","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2014-2015","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2015-2016","Suspensions","Percent","-6666"
"Charter School for Young Children on Asylum Hill","","2016-2017","Suspensions","Percent","-6666"
"Cheshire School District","900914160","2009-2010","Suspensions","Percent","3.0"
"Cheshire School District","900914160","2010-2011","Suspensions","Percent","2.5"
"Cheshire School District","900914160","2011-2012","Suspensions","Percent","2.7"
"Cheshire School District","900914160","2012-2013","Suspensions","Percent","2.6"
"Cheshire School District","900914160","2013-2014","Suspensions","Percent","2.6"
"Cheshire School District","900914160","2014-2015","Suspensions","Percent","3.1"
"Cheshire School District","900914160","2015-2016","Suspensions","Percent","3.2"
"Cheshire School District","900914160","2016-2017","Suspensions","Percent","3.1"
"Cheshire School District","900914160","2017-2018","Suspensions","Percent","2.8"
"Cheshire School District","900914160","2018-2019","Suspensions","Percent","2.3"
"Cheshire School District","900914160","2019-2020","Suspensions","Percent","1.6"
"Chester School District","","2009-2010","Suspensions","Percent","-9999"
"Chester School District","","2010-2011","Suspensions","Percent","-9999"
"Chester School District","","2011-2012","Suspensions","Percent","-9999"
"Chester School District","","2012-2013","Suspensions","Percent","-9999"
"Chester School District","","2013-2014","Suspensions","Percent","-9999"
"Chester School District","","2014-2015","Suspensions","Percent","-9999"
"Chester School District","","2015-2016","Suspensions","Percent","-6666"
"Chester School District","","2016-2017","Suspensions","Percent","-9999"
"Chester School District","","2017-2018","Suspensions","Percent","-9999"
"Chester School District","","2018-2019","Suspensions","Percent","-9999"
"Chester School District","","2019-2020","Suspensions","Percent","-9999"
"Clinton School District","900715350","2009-2010","Suspensions","Percent","6.3"
"Clinton School District","900715350","2010-2011","Suspensions","Percent","5.9"
"Clinton School District","900715350","2011-2012","Suspensions","Percent","6.1"
"Clinton School District","900715350","2012-2013","Suspensions","Percent","5.6"
"Clinton School District","900715350","2013-2014","Suspensions","Percent","5.2"
"Clinton School District","900715350","2014-2015","Suspensions","Percent","4.3"
"Clinton School District","900715350","2015-2016","Suspensions","Percent","3.3"
"Clinton School District","900715350","2016-2017","Suspensions","Percent","4.0"
"Clinton School District","900715350","2017-2018","Suspensions","Percent","5.7"
"Clinton School District","900715350","2018-2019","Suspensions","Percent","4.4"
"Clinton School District","900715350","2019-2020","Suspensions","Percent","4.2"
"Colchester School District","901115910","2009-2010","Suspensions","Percent","5.8"
"Colchester School District","901115910","2010-2011","Suspensions","Percent","4.9"
"Colchester School District","901115910","2011-2012","Suspensions","Percent","4.3"
"Colchester School District","901115910","2012-2013","Suspensions","Percent","4.2"
"Colchester School District","901115910","2013-2014","Suspensions","Percent","4.2"
"Colchester School District","901115910","2014-2015","Suspensions","Percent","4.3"
"Colchester School District","901115910","2015-2016","Suspensions","Percent","3.9"
"Colchester School District","901115910","2016-2017","Suspensions","Percent","3.8"
"Colchester School District","901115910","2017-2018","Suspensions","Percent","3.9"
"Colchester School District","901115910","2018-2019","Suspensions","Percent","4.9"
"Colchester School District","901115910","2019-2020","Suspensions","Percent","3.8"
"Colebrook School District","","2009-2010","Suspensions","Percent","-6666"
"Colebrook School District","","2010-2011","Suspensions","Percent","-9999"
"Colebrook School District","","2011-2012","Suspensions","Percent","-6666"
"Colebrook School District","","2012-2013","Suspensions","Percent","-9999"
"Colebrook School District","","2013-2014","Suspensions","Percent","-9999"
"Colebrook School District","","2014-2015","Suspensions","Percent","-9999"
"Colebrook School District","","2015-2016","Suspensions","Percent","-9999"
"Colebrook School District","","2016-2017","Suspensions","Percent","-9999"
"Colebrook School District","","2017-2018","Suspensions","Percent","-9999"
"Colebrook School District","","2018-2019","Suspensions","Percent","-9999"
"Colebrook School District","","2019-2020","Suspensions","Percent","-9999"
"Columbia School District","","2009-2010","Suspensions","Percent","2.5"
"Columbia School District","","2010-2011","Suspensions","Percent","2.2"
"Columbia School District","","2011-2012","Suspensions","Percent","2.8"
"Columbia School District","","2012-2013","Suspensions","Percent","-9999"
"Columbia School District","","2013-2014","Suspensions","Percent","-9999"
"Columbia School District","","2014-2015","Suspensions","Percent","5.0"
"Columbia School District","","2015-2016","Suspensions","Percent","2.4"
"Columbia School District","","2016-2017","Suspensions","Percent","3.8"
"Columbia School District","","2017-2018","Suspensions","Percent","3.0"
"Columbia School District","","2018-2019","Suspensions","Percent","2.0"
"Columbia School District","","2019-2020","Suspensions","Percent","1.9"
"Common Ground High School District","","2009-2010","Suspensions","Percent","12.4"
"Common Ground High School District","","2010-2011","Suspensions","Percent","9.1"
"Common Ground High School District","","2011-2012","Suspensions","Percent","11.9"
"Common Ground High School District","","2012-2013","Suspensions","Percent","3.6"
"Common Ground High School District","","2013-2014","Suspensions","Percent","9.1"
"Common Ground High School District","","2014-2015","Suspensions","Percent","8.7"
"Common Ground High School District","","2015-2016","Suspensions","Percent","7.4"
"Common Ground High School District","","2016-2017","Suspensions","Percent","8.9"
"Common Ground High School District","","2017-2018","Suspensions","Percent","7.9"
"Common Ground High School District","","2018-2019","Suspensions","Percent","6.8"
"Common Ground High School District","","2019-2020","Suspensions","Percent","7.4"
"Connecticut","9","2009-2010","Suspensions","Percent","8.9"
"Connecticut","9","2010-2011","Suspensions","Percent","8.5"
"Connecticut","9","2011-2012","Suspensions","Percent","8.5"
"Connecticut","9","2012-2013","Suspensions","Percent","7.8"
"Connecticut","9","2013-2014","Suspensions","Percent","7.4"
"Connecticut","9","2014-2015","Suspensions","Percent","7.2"
"Connecticut","9","2015-2016","Suspensions","Percent","7.0"
"Connecticut","9","2016-2017","Suspensions","Percent","6.7"
"Connecticut","9","2017-2018","Suspensions","Percent","6.8"
"Connecticut","9","2018-2019","Suspensions","Percent","6.7"
"Connecticut","9","2019-2020","Suspensions","Percent","4.9"
"Connecticut Technical High School System","","2009-2010","Suspensions","Percent","25.8"
"Connecticut Technical High School System","","2010-2011","Suspensions","Percent","24.4"
"Connecticut Technical High School System","","2011-2012","Suspensions","Percent","25.8"
"Connecticut Technical High School System","","2012-2013","Suspensions","Percent","19.8"
"Connecticut Technical High School System","","2013-2014","Suspensions","Percent","16.2"
"Connecticut Technical High School System","","2014-2015","Suspensions","Percent","15.6"
"Connecticut Technical High School System","","2015-2016","Suspensions","Percent","14.6"
"Connecticut Technical High School System","","2016-2017","Suspensions","Percent","13.1"
"Connecticut Technical High School System","","2017-2018","Suspensions","Percent","16.7"
"Connecticut Technical High School System","","2018-2019","Suspensions","Percent","15.7"
"Connecticut Technical High School System","","2019-2020","Suspensions","Percent","11.6"
"Cooperative Educational Services","","2009-2010","Suspensions","Percent","9.8"
"Cooperative Educational Services","","2010-2011","Suspensions","Percent","8.9"
"Cooperative Educational Services","","2011-2012","Suspensions","Percent","7.2"
"Cooperative Educational Services","","2012-2013","Suspensions","Percent","5.8"
"Cooperative Educational Services","","2013-2014","Suspensions","Percent","4.6"
"Cooperative Educational Services","","2014-2015","Suspensions","Percent","6.8"
"Cooperative Educational Services","","2015-2016","Suspensions","Percent","5.6"
