"District","District Code","Count","%"
"Odyssey Community School District","=""2630013""",11,3.5
"Old Saybrook School District","=""1060011""",38,2.9
"Orange School District","=""1070011""",10,0.8
"Oxford School District","=""1080011""",68,3.5
"Park City Prep Charter School District","=""2830013""",43,12.3
"Path Academy District","=""2930013""",30,19.2
"Plainfield School District","=""1090011""",175,7.5
"Plainville School District","=""1100011""",129,5.4
"Plymouth School District","=""1110011""",85,5.7
"Pomfret School District","=""1120011""",9,2.4
"Portland School District","=""1130011""",58,4.3
"Preston School District","=""1140011""",10,2.2
"Putnam School District","=""1160011""",68,5.6
"Redding School District","=""1170011""",25,2.6
"Regional School District 01","=""2010012""",24,5.7
"Regional School District 04","=""2040012""",37,3.9
"Regional School District 05","=""2050012""",82,3.6
"Regional School District 06","=""2060012""",35,3.6
"Regional School District 07","=""2070012""",42,3.8
"Regional School District 08","=""2080012""",87,5.6
"Regional School District 09","=""2090012""",38,3.9
"Regional School District 10","=""2100012""",72,3.0
"Regional School District 11","=""2110012""",26,10.4
"Regional School District 12","=""2120012""",30,4.3
"Regional School District 13","=""2130012""",39,2.2
"Regional School District 14","=""2140012""",42,2.4
"Regional School District 15","=""2150012""",112,3.0
"Regional School District 16","=""2160012""",114,5.1
"Regional School District 17","=""2170012""",95,4.4
"Regional School District 18","=""2180012""",50,3.8
"Regional School District 19","=""2190012""",39,3.2
"Ridgefield School District","=""1180011""",89,1.8
"Rocky Hill School District","=""1190011""",56,2.1
"Salem School District","=""1210011""",12,2.9
"Salisbury School District","=""1220011""","*","*"
"Scotland School District","=""1230011""",8,7.0
"Seymour School District","=""1240011""",109,5.0
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",240,5.0
"Sherman School District","=""1270011""",20,6.3
"Side By Side Charter School District","=""2700013""",6,2.6
"Simsbury School District","=""1280011""",94,2.3
"Somers School District","=""1290011""",64,4.5
"South Windsor School District","=""1320011""",175,4.1
"Southington School District","=""1310011""",64,1.0
"Sprague School District","=""1330011""",25,7.5
"Stafford School District","=""1340011""",55,3.6
"Stamford Academy District","=""2820013""",20,12.4
"Stamford Charter School for Excellence District","=""2960013""","*","*"
"Stamford School District","=""1350011""",643,4.0
"Sterling School District","=""1360011""",16,3.6
"Stonington School District","=""1370011""",113,5.3
"Stratford School District","=""1380011""",475,6.8
"Suffield School District","=""1390011""",104,4.6
"The Bridge Academy District","=""2690013""",51,19.3
"The Gilbert School District","=""9020022""",91,16.1
"Thomaston School District","=""1400011""",88,9.8
"Thompson School District","=""1410011""",82,8.2
"Tolland School District","=""1420011""",91,3.6
"Torrington School District","=""1430011""",281,6.7
"Trailblazers Academy District","=""2780013""",52,38.8
"Trumbull School District","=""1440011""",95,1.4
"Unified School District #1","=""3360015""","N/A","N/A"
"Unified School District #2","=""3470015""",67,35.3
"Union School District","=""1450011""","N/A","N/A"
"Vernon School District","=""1460011""",309,9.7
"Voluntown School District","=""1470011""","*","*"
"Wallingford School District","=""1480011""",240,4.0
"Waterbury School District","=""1510011""",3405,17.6
"Waterford School District","=""1520011""",123,4.8
"Watertown School District","=""1530011""",173,6.1
"West Hartford School District","=""1550011""",409,4.1
"West Haven School District","=""1560011""",347,5.9
"Westbrook School District","=""1540011""",20,2.5
"Weston School District","=""1570011""",51,2.1
"Westport School District","=""1580011""",92,1.6
"Wethersfield School District","=""1590011""",130,3.6
"Willington School District","=""1600011""",24,5.4
"Wilton School District","=""1610011""",42,1.0
"Winchester School District","=""1620011""",30,5.2
"Windham School District","=""1630011""",395,11.8
"Windsor Locks School District","=""1650011""",87,5.5
"Windsor School District","=""1640011""",360,10.9
"Wolcott School District","=""1660011""",86,3.7
"Woodbridge School District","=""1670011""","*","*"
"Woodstock Academy District","=""9030022""",54,5.1
"Woodstock School District","=""1690011""",22,2.5

