"District","District Code","Count","%"
"New Canaan School District","=""0900011""",43,1.0
"New Fairfield School District","=""0910011""",122,4.2
"New Hartford School District","=""0920011""","*","*"
"New Haven School District","=""0930011""",2223,10.7
"New London School District","=""0950011""",563,18.7
"New Milford School District","=""0960011""",228,4.9
"Newington School District","=""0940011""",286,6.5
"Newtown School District","=""0970011""",114,2.2
"Norfolk School District","=""0980011""","N/A","N/A"
"North Branford School District","=""0990011""",148,6.8
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",99,2.7
"North Stonington School District","=""1020011""",55,7.1
"Norwalk School District","=""1030011""",1003,8.9
"Norwich Free Academy District","=""9010022""",339,14.7
"Norwich School District","=""1040011""",414,10.4
"Odyssey Community School District","=""2630013""",14,4.6
"Old Saybrook School District","=""1060011""",44,2.8
"Orange School District","=""1070011""",6,0.5
"Oxford School District","=""1080011""",58,2.7
"Park City Prep Charter School District","=""2830013""",58,23.3
"Plainfield School District","=""1090011""",274,10.6
"Plainville School District","=""1100011""",121,5.0
"Plymouth School District","=""1110011""",76,4.5
"Pomfret School District","=""1120011""",6,1.2
"Portland School District","=""1130011""",52,3.7
"Preston School District","=""1140011""",9,2.2
"Putnam School District","=""1160011""",122,9.4
"Redding School District","=""1170011""",26,2.1
"Regional School District 01","=""2010012""",37,8.0
"Regional School District 04","=""2040012""",59,6.1
"Regional School District 05","=""2050012""",134,5.5
"Regional School District 06","=""2060012""",77,7.4
"Regional School District 07","=""2070012""",70,6.1
"Regional School District 08","=""2080012""",147,8.3
"Regional School District 09","=""2090012""",23,2.3
"Regional School District 10","=""2100012""",110,4.0
"Regional School District 11","=""2110012""",44,14.2
"Regional School District 12","=""2120012""",49,5.5
"Regional School District 13","=""2130012""",38,1.9
"Regional School District 14","=""2140012""",70,3.5
"Regional School District 15","=""2150012""",144,3.4
"Regional School District 16","=""2160012""",105,4.2
"Regional School District 17","=""2170012""",108,4.5
"Regional School District 18","=""2180012""",38,2.6
"Regional School District 19","=""2190012""",76,6.2
"Ridgefield School District","=""1180011""",99,1.8
"Rocky Hill School District","=""1190011""",120,4.7
"Salem School District","=""1210011""",13,2.9
"Salisbury School District","=""1220011""",11,3.5
"Scotland School District","=""1230011""",6,4.3
"Seymour School District","=""1240011""",172,7.4
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",336,6.4
"Sherman School District","=""1270011""",6,1.5
"Side By Side Charter School District","=""2700013""",8,3.6
"Simsbury School District","=""1280011""",124,2.6
"Somers School District","=""1290011""",83,5.1
"South Windsor School District","=""1320011""",163,3.7
"Southington School District","=""1310011""",260,3.8
"Sprague School District","=""1330011""",25,6.7
"Stafford School District","=""1340011""",159,8.7
"Stamford Academy District","=""2820013""","*","*"
"Stamford School District","=""1350011""",612,3.9
"Sterling School District","=""1360011""",38,7.2
"Stonington School District","=""1370011""",184,7.6
"Stratford School District","=""1380011""",503,6.9
"Suffield School District","=""1390011""",142,5.6
"The Bridge Academy District","=""2690013""",67,25.1
"The Gilbert School District","=""9020022""",107,20.0
"Thomaston School District","=""1400011""",74,6.9
"Thompson School District","=""1410011""",97,8.0
"Tolland School District","=""1420011""",99,3.3
"Torrington School District","=""1430011""",490,10.8
"Trailblazers Academy District","=""2780013""","*","*"
"Trumbull School District","=""1440011""",120,1.7
"Unified School District #1","=""3360015""","N/A","N/A"
"Unified School District #2","=""3470015""",72,25.1
"Union School District","=""1450011""","N/A","N/A"
"Vernon School District","=""1460011""",329,9.1
"Voluntown School District","=""1470011""",11,3.4
"Wallingford School District","=""1480011""",409,6.3
"Waterbury School District","=""1510011""",3907,21.3
"Waterford School District","=""1520011""",172,6.3
"Watertown School District","=""1530011""",257,8.3
"West Hartford School District","=""1550011""",447,4.4
"West Haven School District","=""1560011""",733,11.8
"Westbrook School District","=""1540011""",77,8.4
"Weston School District","=""1570011""",34,1.4
"Westport School District","=""1580011""",84,1.5
"Wethersfield School District","=""1590011""",137,3.7
"Willington School District","=""1600011""",17,3.4
"Wilton School District","=""1610011""",53,1.2
"Winchester School District","=""1620011""",26,3.6
"Windham School District","=""1630011""",598,18.3
"Windsor Locks School District","=""1650011""",155,8.8
"Windsor School District","=""1640011""",486,13.6
"Wolcott School District","=""1660011""",154,5.8
"Woodbridge School District","=""1670011""","*","*"
"Woodstock Academy District","=""9030022""",95,8.6
"Woodstock School District","=""1690011""",16,1.8

