"District","District Code","Count","%"
"Killingly School District","=""0690011""",175,6.7
"Learn","=""2450014""",142,6.0
"Lebanon School District","=""0710011""",25,2.3
"Ledyard School District","=""0720011""",114,4.7
"Lisbon School District","=""0730011""",10,2.5
"Litchfield School District","=""0740011""",48,4.9
"Madison School District","=""0760011""",54,1.8
"Manchester School District","=""0770011""",565,8.9
"Mansfield School District","=""0780011""",33,2.6
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",616,7.7
"Middletown School District","=""0830011""",383,8.1
"Milford School District","=""0840011""",404,6.6
"Monroe School District","=""0850011""",63,2.0
"Montville School District","=""0860011""",107,4.7
"Naugatuck School District","=""0880011""",336,7.8
"New Beginnings Inc., Family Academy District","=""2800013""",73,15.2
"New Britain School District","=""0890011""",1394,13.6
"New Canaan School District","=""0900011""",27,0.6
"New Fairfield School District","=""0910011""",66,2.6
"New Hartford School District","=""0920011""","*","*"
"New Haven School District","=""0930011""",1792,8.2
"New London School District","=""0950011""",528,15.3
"New Milford School District","=""0960011""",219,5.1
"Newington School District","=""0940011""",193,4.7
"Newtown School District","=""0970011""",118,2.6
"Norfolk School District","=""0980011""","*","*"
"North Branford School District","=""0990011""",101,5.4
"North Canaan School District","=""1000011""","N/A","N/A"
"North Haven School District","=""1010011""",96,3.0
"North Stonington School District","=""1020011""",31,4.2
"Norwalk School District","=""1030011""",659,5.7
"Norwich Free Academy District","=""9010022""",268,11.8
"Norwich School District","=""1040011""",282,7.5
"Odyssey Community School District","=""2630013""",12,3.7
"Old Saybrook School District","=""1060011""",35,2.5
"Orange School District","=""1070011""",10,0.8
"Oxford School District","=""1080011""",36,1.8
"Park City Prep Charter School District","=""2830013""",62,17.5
"Path Academy District","=""2930013""",20,14.9
"Plainfield School District","=""1090011""",215,9.1
"Plainville School District","=""1100011""",131,5.4
"Plymouth School District","=""1110011""",82,5.4
"Pomfret School District","=""1120011""",19,4.7
"Portland School District","=""1130011""",50,3.7
"Preston School District","=""1140011""",11,2.5
"Putnam School District","=""1160011""",78,6.4
"Redding School District","=""1170011""",15,1.6
"Regional School District 01","=""2010012""",49,10.9
"Regional School District 04","=""2040012""",28,3.0
"Regional School District 05","=""2050012""",78,3.4
"Regional School District 06","=""2060012""",60,6.1
"Regional School District 07","=""2070012""",53,4.8
"Regional School District 08","=""2080012""",72,4.5
"Regional School District 09","=""2090012""",30,2.9
"Regional School District 10","=""2100012""",51,2.1
"Regional School District 11","=""2110012""",26,10.4
"Regional School District 12","=""2120012""",37,5.1
"Regional School District 13","=""2130012""",38,2.1
"Regional School District 14","=""2140012""",42,2.4
"Regional School District 15","=""2150012""",121,3.2
"Regional School District 16","=""2160012""",102,4.5
"Regional School District 17","=""2170012""",74,3.4
"Regional School District 18","=""2180012""",29,2.2
"Regional School District 19","=""2190012""",61,5.1
"Ridgefield School District","=""1180011""",67,1.3
"Rocky Hill School District","=""1190011""",44,1.7
"Salem School District","=""1210011""",7,1.9
"Salisbury School District","=""1220011""",9,3.3
"Scotland School District","=""1230011""","*","*"
"Seymour School District","=""1240011""",157,7.0
"Sharon School District","=""1250011""","N/A","N/A"
"Shelton School District","=""1260011""",255,5.2
"Sherman School District","=""1270011""",10,3.0
"Side By Side Charter School District","=""2700013""",10,4.4
"Simsbury School District","=""1280011""",92,2.2
"Somers School District","=""1290011""",55,3.8
"South Windsor School District","=""1320011""",127,3.0
"Southington School District","=""1310011""",216,3.2
"Sprague School District","=""1330011""",32,8.9
"Stafford School District","=""1340011""",77,4.9
"Stamford Academy District","=""2820013""",32,21.6
"Stamford Charter School for Excellence District","=""2960013""","*","*"
"Stamford School District","=""1350011""",604,3.7
"Sterling School District","=""1360011""",14,3.1
"Stonington School District","=""1370011""",121,5.5
"Stratford School District","=""1380011""",466,6.7
"Suffield School District","=""1390011""",143,6.0
"The Bridge Academy District","=""2690013""",50,18.4
"The Gilbert School District","=""9020022""",94,16.8
"Thomaston School District","=""1400011""",65,7.2
"Thompson School District","=""1410011""",80,7.7
"Tolland School District","=""1420011""",98,3.8
"Torrington School District","=""1430011""",348,8.1
"Trailblazers Academy District","=""2780013""",39,30.2
"Trumbull School District","=""1440011""",81,1.2
"Unified School District #1","=""3360015""","N/A","N/A"
"Unified School District #2","=""3470015""",71,37.0
"Union School District","=""1450011""","*","*"
"Vernon School District","=""1460011""",308,9.5
"Voluntown School District","=""1470011""","*","*"
"Wallingford School District","=""1480011""",237,3.9
"Waterbury School District","=""1510011""",3551,18.6
"Waterford School District","=""1520011""",141,5.5
"Watertown School District","=""1530011""",184,6.4
"West Hartford School District","=""1550011""",422,4.3
"West Haven School District","=""1560011""",425,7.1
"Westbrook School District","=""1540011""",7,0.9
"Weston School District","=""1570011""",51,2.1
"Westport School District","=""1580011""",77,1.3
"Wethersfield School District","=""1590011""",162,4.4
"Willington School District","=""1600011""",8,1.8
"Wilton School District","=""1610011""",44,1.0
"Winchester School District","=""1620011""",11,1.9
"Windham School District","=""1630011""",459,13.8
"Windsor Locks School District","=""1650011""",143,8.7
"Windsor School District","=""1640011""",417,12.8
"Wolcott School District","=""1660011""",109,4.6
"Woodbridge School District","=""1670011""","*","*"
"Woodstock Academy District","=""9030022""",58,5.6
"Woodstock School District","=""1690011""",15,1.7

