"District","District Code","Count","%"
"Essex School District","=""0500011""","N/A","N/A"
"Explorations District","=""2720013""",12,12.5
"Fairfield School District","=""0510011""",181,1.8
"Farmington School District","=""0520011""",78,1.8
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",206,3.4
"Granby School District","=""0560011""",46,2.4
"Great Oaks Charter School District","=""2940013""",71,15.1
"Greenwich School District","=""0570011""",128,1.4
"Griswold School District","=""0580011""",134,7.3
"Groton School District","=""0590011""",326,7.1
"Guilford School District","=""0600011""",72,2.2
"Hamden School District","=""0620011""",489,8.5
"Hampton School District","=""0630011""","N/A","N/A"
"Hartford School District","=""0640011""",2526,12.1
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""",6,0.9
"Highville Charter School District","=""2860013""",60,11.8
"Integrated Day Charter School District","=""2640013""",12,3.5
"Interdistrict School for Arts and Comm District","=""2650013""",41,14.4
"Jumoke Academy District","=""2610013""",81,10.9
"Kent School District","=""0680011""","*","*"
"Killingly School District","=""0690011""",227,8.7
"Learn","=""2450014""",221,8.7
"Lebanon School District","=""0710011""",48,4.7
"Ledyard School District","=""0720011""",136,5.4
"Lisbon School District","=""0730011""",38,8.9
"Litchfield School District","=""0740011""",40,4.4
"Madison School District","=""0760011""",42,1.5
"Manchester School District","=""0770011""",742,11.1
"Mansfield School District","=""0780011""",28,2.3
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",513,6.1
"Middletown School District","=""0830011""",394,8.2
"Milford School District","=""0840011""",270,4.6
"Monroe School District","=""0850011""",65,2.0
"Montville School District","=""0860011""",136,6.3
"Naugatuck School District","=""0880011""",398,8.7
"New Beginnings Inc Family Academy District","=""2800013""","*","*"
"New Britain School District","=""0890011""",1195,11.0
"New Canaan School District","=""0900011""",41,1.0
"New Fairfield School District","=""0910011""",59,2.6
"New Hartford School District","=""0920011""",9,1.9
"New Haven School District","=""0930011""",1626,7.3
"New London School District","=""0950011""",319,8.5
"New Milford School District","=""0960011""",236,5.7
"Newington School District","=""0940011""",184,4.4
"Newtown School District","=""0970011""",98,2.2
"Norfolk School District","=""0980011""","*","*"
"North Branford School District","=""0990011""",102,5.7
"North Canaan School District","=""1000011""",7,2.7
"North Haven School District","=""1010011""",124,3.8
"North Stonington School District","=""1020011""",26,3.5
"Norwalk School District","=""1030011""",604,5.0
"Norwich Free Academy District","=""9010022""",317,12.7
"Norwich School District","=""1040011""",357,9.1
"Odyssey Community School District","=""2630013""",7,2.1
"Old Saybrook School District","=""1060011""",15,1.2
"Orange School District","=""1070011""",16,1.3
"Oxford School District","=""1080011""",71,3.9
"Park City Prep Charter School District","=""2830013""",27,7.5
"Plainfield School District","=""1090011""",230,9.9
"Plainville School District","=""1100011""",118,4.9
"Plymouth School District","=""1110011""",114,7.7
"Pomfret School District","=""1120011""",6,1.5
"Portland School District","=""1130011""",74,5.4
"Preston School District","=""1140011""","*","*"
"Putnam School District","=""1160011""",91,7.1
"Redding School District","=""1170011""",15,1.7
"Regional School District 01","=""2010012""",50,12.1
"Regional School District 04","=""2040012""",40,4.4
"Regional School District 05","=""2050012""",105,4.8
"Regional School District 06","=""2060012""",30,3.2
"Regional School District 07","=""2070012""",44,4.0
"Regional School District 08","=""2080012""",88,5.9
"Regional School District 09","=""2090012""",29,3.2
"Regional School District 10","=""2100012""",55,2.4
"Regional School District 11","=""2110012""",27,11.4
"Regional School District 12","=""2120012""",23,3.3
"Regional School District 13","=""2130012""",53,3.2
"Regional School District 14","=""2140012""",59,3.5
"Regional School District 15","=""2150012""",115,3.1
"Regional School District 16","=""2160012""",107,4.9
"Regional School District 17","=""2170012""",98,4.7
"Regional School District 18","=""2180012""",39,3.0
"Regional School District 19","=""2190012""",64,5.5
"Ridgefield School District","=""1180011""",99,2.0
"Rocky Hill School District","=""1190011""",69,2.4
"Salem School District","=""1210011""",12,2.8
"Salisbury School District","=""1220011""","*","*"
"Scotland School District","=""1230011""","*","*"
"Seymour School District","=""1240011""",217,9.6
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",266,5.5
"Sherman School District","=""1270011""",15,5.3
"Side By Side Charter School District","=""2700013""","*","*"
"Simsbury School District","=""1280011""",87,2.1
"Somers School District","=""1290011""",88,6.2
"South Windsor School District","=""1320011""",161,3.5
"Southington School District","=""1310011""",276,4.2
"Sprague School District","=""1330011""",26,7.6
"Stafford School District","=""1340011""",89,5.7
"Stamford Academy District","=""2820013""","*","*"
"Stamford Charter School for Excellence District","=""2960013""","*","*"
"Stamford School District","=""1350011""",778,4.5
"Sterling School District","=""1360011""",23,6.0
"Stonington School District","=""1370011""",112,5.3
"Stratford School District","=""1380011""",579,8.1
"Suffield School District","=""1390011""",92,4.1
"The Bridge Academy District","=""2690013""",29,10.0
"The Gilbert School District","=""9020022""",99,18.3
"The Woodstock Academy District","=""9030022""",99,8.9
"Thomaston School District","=""1400011""",63,7.1
"Thompson School District","=""1410011""",75,7.1
"Tolland School District","=""1420011""",96,3.9
"Torrington School District","=""1430011""",323,7.8
"Trailblazers Academy District","=""2780013""",8,5.7
"Trumbull School District","=""1440011""",119,1.7
"Unified School District #1","=""3360015""","N/A","N/A"
"Unified School District #2","=""3470015""","*","*"
"Union School District","=""1450011""","N/A","N/A"
"Vernon School District","=""1460011""",250,7.6
"Voluntown School District","=""1470011""","N/A","N/A"
"Wallingford School District","=""1480011""",320,5.4
"Waterbury School District","=""1510011""",2925,14.6
"Waterford School District","=""1520011""",125,4.9
"Watertown School District","=""1530011""",193,6.8
"West Hartford School District","=""1550011""",415,4.2
"West Haven School District","=""1560011""",517,8.3
"Westbrook School District","=""1540011""",6,0.8
"Weston School District","=""1570011""",56,2.4
"Westport School District","=""1580011""",92,1.6
"Wethersfield School District","=""1590011""",164,4.4
"Willington School District","=""1600011""",10,2.3
"Wilton School District","=""1610011""",49,1.2
"Winchester School District","=""1620011""",20,3.4
"Windham School District","=""1630011""",446,12.3
"Windsor Locks School District","=""1650011""",116,7.0
"Windsor School District","=""1640011""",358,10.3
"Wolcott School District","=""1660011""",98,4.2
"Woodbridge School District","=""1670011""",12,1.4
"Woodstock School District","=""1690011""",13,1.5

