"District","District Code","Count","%"
"East Granby School District","=""0400011""",43,5.1
"East Haddam School District","=""0410011""",53,5.1
"East Hampton School District","=""0420011""",54,2.9
"East Hartford School District","=""0430011""",846,12.0
"East Haven School District","=""0440011""",222,7.5
"East Lyme School District","=""0450011""",86,3.1
"East Windsor School District","=""0470011""",127,11.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",49,11.5
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""",14,1.5
"EdAdvance","=""2420014""",7,4.4
"Ellington School District","=""0480011""",123,4.5
"Elm City College Preparatory School District","=""2890013""",105,14.2
"Elm City Montessori School District","=""2910013""",13,8.6
"Enfield School District","=""0490011""",390,7.5
"Essex School District","=""0500011""","*","*"
"Explorations District","=""2720013""",20,22.0
"Fairfield School District","=""0510011""",200,2.0
"Farmington School District","=""0520011""",46,1.1
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",150,2.5
"Granby School District","=""0560011""",53,2.8
"Great Oaks Charter School District","=""2940013""",107,28.1
"Greenwich School District","=""0570011""",180,2.0
"Griswold School District","=""0580011""",121,6.7
"Groton School District","=""0590011""",299,6.9
"Guilford School District","=""0600011""",63,1.9
"Hamden School District","=""0620011""",480,8.7
"Hampton School District","=""0630011""","N/A","N/A"
"Hartford School District","=""0640011""",2552,12.4
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""",9,1.3
"Highville Charter School District","=""2860013""",88,18.1
"Integrated Day Charter School District","=""2640013""",22,6.7
"Interdistrict School for Arts and Comm District","=""2650013""",54,20.8
"Jumoke Academy District","=""2610013""",102,13.7
"Kent School District","=""0680011""","*","*"
"Killingly School District","=""0690011""",224,8.9
"Learn","=""2450014""",230,9.5
"Lebanon School District","=""0710011""",56,5.4
"Ledyard School District","=""0720011""",139,5.7
"Lisbon School District","=""0730011""",13,3.2
"Litchfield School District","=""0740011""",47,5.1
"Madison School District","=""0760011""",51,1.8
"Manchester School District","=""0770011""",548,8.6
"Mansfield School District","=""0780011""",26,2.3
"Marlborough School District","=""0790011""","N/A","N/A"
"Meriden School District","=""0800011""",580,7.2
"Middletown School District","=""0830011""",339,7.3
"Milford School District","=""0840011""",333,5.7
"Monroe School District","=""0850011""",56,1.8
"Montville School District","=""0860011""",161,7.4
"Naugatuck School District","=""0880011""",342,7.9
"New Beginnings Inc Family Academy District","=""2800013""","*","*"
"New Britain School District","=""0890011""",1102,10.6
"New Canaan School District","=""0900011""",24,0.6
"New Fairfield School District","=""0910011""",71,3.0
"New Hartford School District","=""0920011""","*","*"
"New Haven School District","=""0930011""",1504,6.9
"New London School District","=""0950011""",395,10.7
"New Milford School District","=""0960011""",240,5.8
"Newington School District","=""0940011""",193,4.7
"Newtown School District","=""0970011""",117,2.6
"Norfolk School District","=""0980011""","*","*"
"North Branford School District","=""0990011""",99,5.5
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",95,3.0
"North Stonington School District","=""1020011""",28,3.7
"Norwalk School District","=""1030011""",744,6.4
"Norwich Free Academy District","=""9010022""",315,13.6
"Norwich School District","=""1040011""",331,8.9
"Odyssey Community School District","=""2630013""",11,3.4
"Old Saybrook School District","=""1060011""",44,3.5
"Orange School District","=""1070011""",14,1.2
"Oxford School District","=""1080011""",57,3.1
"Park City Prep Charter School District","=""2830013""",39,11.2
"Path Academy District","=""2930013""",44,37.0
"Plainfield School District","=""1090011""",205,8.9
"Plainville School District","=""1100011""",108,4.5
"Plymouth School District","=""1110011""",113,7.6
"Pomfret School District","=""1120011""","*","*"
"Portland School District","=""1130011""",83,6.3
"Preston School District","=""1140011""","*","*"
"Putnam School District","=""1160011""",53,4.4
"Redding School District","=""1170011""",16,1.7
"Regional School District 01","=""2010012""",17,4.3
"Regional School District 04","=""2040012""",58,6.3
"Regional School District 05","=""2050012""",81,3.7
"Regional School District 06","=""2060012""",41,4.5
"Regional School District 07","=""2070012""",36,3.3
"Regional School District 08","=""2080012""",94,6.2
"Regional School District 09","=""2090012""",36,4.0
"Regional School District 10","=""2100012""",86,3.6
"Regional School District 11","=""2110012""",40,17.6
"Regional School District 12","=""2120012""",21,3.0
"Regional School District 13","=""2130012""",69,4.1
"Regional School District 14","=""2140012""",70,4.1
"Regional School District 15","=""2150012""",113,3.1
"Regional School District 16","=""2160012""",113,5.1
"Regional School District 17","=""2170012""",114,5.5
"Regional School District 18","=""2180012""",30,2.3
"Regional School District 19","=""2190012""",54,4.5
"Ridgefield School District","=""1180011""",108,2.2
"Rocky Hill School District","=""1190011""",47,1.7
"Salem School District","=""1210011""",13,3.3
"Salisbury School District","=""1220011""",10,3.3
"Scotland School District","=""1230011""",6,5.1
"Seymour School District","=""1240011""",165,7.5
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",296,6.2
"Sherman School District","=""1270011""",10,3.4
"Side By Side Charter School District","=""2700013""",6,2.6
"Simsbury School District","=""1280011""",81,2.0
"Somers School District","=""1290011""",77,5.3
"South Windsor School District","=""1320011""",183,4.2
"Southington School District","=""1310011""",285,4.4
"Sprague School District","=""1330011""",34,9.8
"Stafford School District","=""1340011""",76,4.9
"Stamford Academy District","=""2820013""",8,5.5
"Stamford Charter School for Excellence District","=""2960013""","*","*"
"Stamford School District","=""1350011""",644,4.0
"Sterling School District","=""1360011""",25,6.5
"Stonington School District","=""1370011""",103,4.9
"Stratford School District","=""1380011""",491,7.1
"Suffield School District","=""1390011""",122,5.5
"The Bridge Academy District","=""2690013""",36,13.7
"The Gilbert School District","=""9020022""",102,18.1
"The Woodstock Academy District","=""9030022""",87,7.9
"Thomaston School District","=""1400011""",84,9.5
"Thompson School District","=""1410011""",88,8.7
"Tolland School District","=""1420011""",97,3.9
"Torrington School District","=""1430011""",322,7.9
"Trailblazers Academy District","=""2780013""",10,8.4
"Trumbull School District","=""1440011""",122,1.8
"Unified School District #1","=""3360015""","N/A","N/A"
"Unified School District #2","=""3470015""",26,17.9
"Union School District","=""1450011""","N/A","N/A"
"Vernon School District","=""1460011""",258,8.2
"Voluntown School District","=""1470011""","*","*"
"Wallingford School District","=""1480011""",310,5.3
"Waterbury School District","=""1510011""",3256,16.9
"Waterford School District","=""1520011""",117,4.6
"Watertown School District","=""1530011""",168,6.0
"West Hartford School District","=""1550011""",390,4.0
"West Haven School District","=""1560011""",393,6.6
"Westbrook School District","=""1540011""","*","*"
"Weston School District","=""1570011""",64,2.7
"Westport School District","=""1580011""",99,1.8
"Wethersfield School District","=""1590011""",127,3.5
"Willington School District","=""1600011""",26,5.8
"Wilton School District","=""1610011""",52,1.3
"Winchester School District","=""1620011""",22,4.0
"Windham School District","=""1630011""",433,12.6
"Windsor Locks School District","=""1650011""",106,6.7
"Windsor School District","=""1640011""",373,11.2
"Wolcott School District","=""1660011""",129,5.6
"Woodbridge School District","=""1670011""","*","*"
"Woodstock School District","=""1690011""",31,3.6

