"District","District Code","Count","%"
"Unified School District #1","=""3360015""","N/A","N/A"
"Unified School District #2","=""3470015""",81,31.6
"Union School District","=""1450011""","N/A","N/A"
"Vernon School District","=""1460011""",312,9.5
"Voluntown School District","=""1470011""",8,2.5
"Wallingford School District","=""1480011""",306,5.0
"Waterbury School District","=""1510011""",3639,19.0
"Waterford School District","=""1520011""",162,6.3
"Watertown School District","=""1530011""",164,5.7
"West Hartford School District","=""1550011""",379,3.8
"West Haven School District","=""1560011""",408,6.8
"Westbrook School District","=""1540011""","*","*"
"Weston School District","=""1570011""",25,1.0
"Westport School District","=""1580011""",103,1.8
"Wethersfield School District","=""1590011""",123,3.4
"Willington School District","=""1600011""",13,3.0
"Wilton School District","=""1610011""",70,1.6
"Winchester School District","=""1620011""",18,3.0
"Windham School District","=""1630011""",458,14.2
"Windsor Locks School District","=""1650011""",127,7.6
"Windsor School District","=""1640011""",362,11.2
"Wolcott School District","=""1660011""",106,4.4
"Woodbridge School District","=""1670011""","*","*"
"Woodstock Academy District","=""9030022""",65,6.4
"Woodstock School District","=""1690011""",11,1.3

